epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,314.291,1.18143,1.17123,1.42909,0.58335,0.64733,0.79924,0.55084,1.51599,2.00709,2.06125,0.00113898,0.00113898,0.00113898
43,320.948,1.11545,1.07285,1.3991,0.89629,0.86556,0.95278,0.66694,1.41297,0.94524,1.99812,0.00113191,0.00113191,0.00113191
44,326.677,1.12631,1.11166,1.40506,0.85425,0.52359,0.5737,0.35113,1.63592,1.60267,2.21742,0.00112484,0.00112484,0.00112484
45,335.498,1.13969,1.09998,1.41289,0.8645,0.47732,0.56133,0.35396,1.54943,1.52107,2.26367,0.00111776,0.00111776,0.00111776
46,341.511,1.18437,1.18163,1.4225,0.78483,0.82106,0.7952,0.52802,1.29622,1.01388,1.83265,0.00111069,0.00111069,0.00111069
47,347.205,1.16059,1.10939,1.41681,0.95257,0.76088,0.9304,0.65114,1.38913,0.96738,2.07815,0.00110362,0.00110362,0.00110362
48,356.587,1.0962,1.01388,1.39185,0.84496,0.74617,0.83327,0.59211,1.59215,1.33428,2.24211,0.00109654,0.00109654,0.00109654
49,362.262,1.10682,1.04531,1.38274,0.91392,0.78333,0.87032,0.5713,1.59919,1.29661,2.34642,0.00108947,0.00108947,0.00108947
50,368.872,1.08372,1.02496,1.3595,0.39764,0.59593,0.59819,0.43124,1.86487,1.76769,2.43862,0.0010824,0.0010824,0.0010824
51,376.784,1.14282,1.0487,1.3907,0.87549,0.44468,0.67971,0.44091,1.62001,1.69041,2.15376,0.00107532,0.00107532,0.00107532
52,382.414,1.12956,1.03573,1.37333,0.87846,0.67262,0.79579,0.52787,1.61153,1.62635,2.1445,0.00106825,0.00106825,0.00106825
53,390.294,1.08872,1.0187,1.35449,0.94111,0.73379,0.80614,0.58041,1.45583,1.35171,2.12625,0.00106118,0.00106118,0.00106118
54,396.857,1.10026,1.01157,1.38886,0.81117,0.75,0.81778,0.60879,1.43091,1.47036,2.24174,0.0010541,0.0010541,0.0010541
55,402.327,1.12536,1.11729,1.39088,0.5647,0.77791,0.63407,0.46662,1.39288,1.28777,1.98803,0.00104703,0.00104703,0.00104703
56,410.562,1.08485,1.01614,1.36384,0.95822,0.76178,0.89399,0.54286,1.49705,0.86885,2.06915,0.00103995,0.00103995,0.00103995
57,417.051,1.00989,0.93289,1.32971,0.83835,0.80807,0.89004,0.54032,1.47279,0.92609,2.0761,0.00103288,0.00103288,0.00103288
58,422.74,1.04432,0.94718,1.35709,0.52443,0.85119,0.69492,0.44186,1.49284,1.09087,2.18904,0.00102581,0.00102581,0.00102581
59,432.238,1.04732,0.94252,1.31639,0.57413,0.50729,0.58161,0.36821,1.41329,1.46573,2.0109,0.00101873,0.00101873,0.00101873
60,438.101,1.02383,0.93694,1.32074,0.77778,0.59186,0.58866,0.37302,1.48777,1.43569,2.20013,0.00101166,0.00101166,0.00101166
61,444.341,0.98682,0.91206,1.2911,0.62319,0.84069,0.70432,0.42481,1.73943,1.52439,2.42129,0.00100459,0.00100459,0.00100459
62,452.764,1.04934,0.96257,1.34155,0.96157,0.64748,0.85264,0.50264,1.4385,1.41736,2.05435,0.000997513,0.000997513,0.000997513
63,458.247,1.05161,0.90968,1.31438,0.91477,0.4643,0.87642,0.61371,1.42919,1.49786,1.94613,0.00099044,0.00099044,0.00099044
64,465.627,1.02133,0.92582,1.31848,0.81123,0.55581,0.72968,0.37957,1.57128,1.18581,2.15029,0.000983366,0.000983366,0.000983366
65,472.989,0.99496,0.90694,1.31085,0.97735,0.67652,0.90847,0.58636,1.38583,1.14758,1.95137,0.000976293,0.000976293,0.000976293
66,478.495,1.02298,0.90083,1.30119,0.7875,0.72747,0.91758,0.68389,1.3401,1.02323,2.06965,0.000969219,0.000969219,0.000969219
67,486.684,0.98637,0.87628,1.27695,0.8569,0.76613,0.92489,0.71798,1.20891,1.04078,1.8076,0.000962146,0.000962146,0.000962146
68,493.185,0.99648,0.83553,1.28955,0.61691,0.77984,0.71004,0.48558,1.46642,1.29374,1.93844,0.000955072,0.000955072,0.000955072
69,498.738,0.97833,0.8775,1.2689,0.59015,0.46341,0.63794,0.44107,1.45829,1.4659,1.91976,0.000947999,0.000947999,0.000947999
70,507.748,0.9838,0.91401,1.29071,0.4678,0.81667,0.82406,0.58516,1.57484,1.32711,2.0805,0.000940925,0.000940925,0.000940925
71,513.352,0.9713,0.84214,1.27483,0.90483,0.86309,0.92901,0.64117,1.5135,0.95053,2.21339,0.000933851,0.000933851,0.000933851
72,520.119,0.97421,0.82609,1.27449,0.52019,0.96667,0.76528,0.57791,1.26001,0.92277,1.94937,0.000926778,0.000926778,0.000926778
73,528.55,0.94867,0.81375,1.26923,0.77859,0.9,0.88126,0.65366,1.40648,1.24858,2.17777,0.000919704,0.000919704,0.000919704
74,534.159,0.90376,0.83822,1.24711,0.90558,0.43113,0.64687,0.42937,1.37769,1.33249,2.01664,0.000912631,0.000912631,0.000912631
75,542.038,0.89477,0.7699,1.20974,0.82328,0.63333,0.63967,0.40251,1.36152,1.25137,1.94969,0.000905557,0.000905557,0.000905557
76,548.998,0.8985,0.81906,1.2547,0.96845,0.5,0.7494,0.51679,1.42034,1.16326,2.07006,0.000898484,0.000898484,0.000898484
77,554.673,0.91991,0.79781,1.24482,0.93044,0.53328,0.71648,0.48405,1.36547,1.11065,1.86515,0.00089141,0.00089141,0.00089141
78,563.395,0.87896,0.80876,1.25754,0.63736,0.93333,0.96113,0.74047,1.32189,0.88243,1.75991,0.000884337,0.000884337,0.000884337
