epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.286,3.06483,4.52037,4.19639,0.00212,0.66216,0.00965,0.0032,2.65395,5.20842,4.15613,0.00012,0.00012,0.00012
2,440.306,3.03825,4.43394,4.18744,0.00216,0.68439,0.02325,0.00758,2.6359,5.23374,4.14508,0.000247525,0.000247525,0.000247525
3,612.924,2.97272,4.44714,4.15354,0.00201,0.64272,0.01309,0.00483,2.59888,5.24614,4.09733,0.000372476,0.000372476,0.000372476
4,780.807,3.03993,4.40063,4.10645,0.00204,0.68786,0.02769,0.00866,2.52265,5.2051,3.99783,0.000494853,0.000494853,0.000494853
5,946.134,3.04621,4.3325,4.02848,0.00203,0.67345,0.01457,0.00587,2.50007,5.10971,3.87251,0.000614656,0.000614656,0.000614656
